game_id	section_id	team_id	team_name	team_url	period_scores
3881119	0	8486	Lasell	http://stats.ncaa.org/team/index/12221?org_id=8486	[19, 27, 20, 27, 1]
3881119	1	152	Colby-Sawyer	http://stats.ncaa.org/team/index/12221?org_id=152	[25, 25, 25, 29, 3]
3881119	2		Ties		[1, 5, 8, 6, 20]
3881119	3		Lead changes		[0, 1, 3, 3, 7]
3881156	0	160	Concordia Chicago	http://stats.ncaa.org/team/index/12221?org_id=160	[14, 15, 14, 0]
3881156	1	492	North Central (IL)	http://stats.ncaa.org/team/index/12221?org_id=492	[25, 25, 25, 3]
3881156	2		Ties		[0, 5, 2, 7]
3881156	3		Lead changes		[0, 3, 0, 3]
3881158	0	681	Stockton	http://stats.ncaa.org/team/index/12221?org_id=681	[25, 25, 25, 3]
3881158	1	58	Baruch	http://stats.ncaa.org/team/index/12221?org_id=58	[14, 14, 17, 0]
3881158	2		Ties		[0, 5, 1, 6]
3881158	3		Lead changes		[0, 2, 0, 2]
3881160	0	146	Clarkson	http://stats.ncaa.org/team/index/12221?org_id=146	[21, 25, 22, 25, 15, 3]
3881160	1	168	SUNY Cortland	http://stats.ncaa.org/team/index/12221?org_id=168	[25, 21, 25, 13, 12, 2]
3881160	2		Ties		[0]
3881160	3		Lead changes		[0]
3881168	0	486	MCLA	http://stats.ncaa.org/team/index/12221?org_id=486	[25, 18, 16, 25, 1]
3881168	1	642	Skidmore	http://stats.ncaa.org/team/index/12221?org_id=642	[18, 25, 25, 27, 3]
3881168	2		Ties		[1, 5, 1, 4, 11]
3881168	3		Lead changes		[0, 2, 1, 1, 4]
3881186	0	45	Babson	http://stats.ncaa.org/team/index/12221?org_id=45	[25, 16, 25, 25, 3]
3881186	1	152	Colby-Sawyer	http://stats.ncaa.org/team/index/12221?org_id=152	[18, 25, 18, 20, 1]
3881186	2		Ties		[0, 0, 5, 9, 14]
3881186	3		Lead changes		[0, 0, 4, 2, 6]
3881213	0	276	Haverford	http://stats.ncaa.org/team/index/12221?org_id=276	[25, 18, 25, 12, 15, 3]
3881213	1	88	Cabrini	http://stats.ncaa.org/team/index/12221?org_id=88	[14, 25, 23, 25, 11, 2]
3881213	2		Ties		[0, 2, 9, 1, 2, 14]
3881213	3		Lead changes		[0, 2, 3, 0, 2, 7]
3881229	0	45	Babson	http://stats.ncaa.org/team/index/12221?org_id=45	[25, 25, 25, 3]
3881229	1	8486	Lasell	http://stats.ncaa.org/team/index/12221?org_id=8486	[17, 21, 19, 0]
3881229	2		Ties		[0, 6, 6, 12]
3881229	3		Lead changes		[0, 3, 3, 6]
3881237	0	28593	Birmingham-So.	http://stats.ncaa.org/team/index/12221?org_id=28593	[14, 23, 14, 0]
3881237	1	217	Emory	http://stats.ncaa.org/team/index/12221?org_id=217	[25, 25, 25, 3]
3881237	2		Ties		[3, 13, 2, 18]
3881237	3		Lead changes		[3, 7, 1, 11]
3881241	0		Unity		[17, 16, 12, 0]
3881241	1	1133	Husson	http://stats.ncaa.org/team/index/12221?org_id=1133	[25, 25, 25, 3]
3881241	2		Ties		[0, 3, 2, 5]
3881241	3		Lead changes		[0, 2, 1, 3]
3881255	0	30035	Crown (MN)	http://stats.ncaa.org/team/index/12221?org_id=30035	[9, 13, 18, 0]
3881255	1	615	St. Olaf	http://stats.ncaa.org/team/index/12221?org_id=615	[25, 25, 25, 3]
3881255	2		Ties		[0, 2, 0, 2]
3881255	3		Lead changes		[0, 2, 0, 2]
3881260	0	745	Va. Wesleyan	http://stats.ncaa.org/team/index/12221?org_id=745	[17, 11, 15, 0]
3881260	1	139	Chris. Newport	http://stats.ncaa.org/team/index/12221?org_id=139	[25, 25, 25, 3]
3881260	2		Ties		[9, 1, 1, 11]
3881260	3		Lead changes		[5, 0, 0, 5]
3881266	0	211	Elizabethtown	http://stats.ncaa.org/team/index/12221?org_id=211	[25, 25, 25, 3]
3881266	1	16	Albright	http://stats.ncaa.org/team/index/12221?org_id=16	[16, 22, 19, 0]
3881266	2		Ties		[5, 6, 6, 17]
3881266	3		Lead changes		[0, 0, 5, 5]
3881274	0	491	N.C. Wesleyan	http://stats.ncaa.org/team/index/12221?org_id=491	[15, 14, 18, 0]
3881274	1	565	Randolph-Macon	http://stats.ncaa.org/team/index/12221?org_id=565	[25, 25, 25, 3]
3881274	2		Ties		[0, 2, 5, 7]
3881274	3		Lead changes		[0, 1, 4, 5]
3881280	0	686	Swarthmore	http://stats.ncaa.org/team/index/12221?org_id=686	[25, 25, 21, 25, 3]
3881280	1	783	Widener	http://stats.ncaa.org/team/index/12221?org_id=783	[16, 20, 25, 20, 1]
3881280	2		Ties		[5, 0, 2, 11, 18]
3881280	3		Lead changes		[4, 0, 1, 6, 11]
3881282	0		Calumet Col.		[17, 21, 15, 0]
3881282	1	492	North Central (IL)	http://stats.ncaa.org/team/index/12221?org_id=492	[25, 25, 25, 3]
3881282	2		Ties		[7, 0, 1, 8]
3881282	3		Lead changes		[2, 0, 1, 3]
3881283	0	389	Mary Baldwin	http://stats.ncaa.org/team/index/12221?org_id=389	[13, 25, 21, 22, 1]
3881283	1	203	East. Mennonite	http://stats.ncaa.org/team/index/12221?org_id=203	[25, 23, 25, 25, 3]
3881283	2		Ties		[2, 8, 3, 6, 19]
3881283	3		Lead changes		[0, 3, 3, 1, 7]
3881295	0	216	Emory & Henry	http://stats.ncaa.org/team/index/12221?org_id=216	[25, 25, 14, 25, 3]
3881295	1	225	Ferrum	http://stats.ncaa.org/team/index/12221?org_id=225	[14, 22, 25, 16, 1]
3881295	2		Ties		[2, 10, 2, 1, 15]
3881295	3		Lead changes		[2, 8, 1, 1, 12]
3881297	0	475	SUNY New Paltz	http://stats.ncaa.org/team/index/12221?org_id=475	[25, 21, 16, 23, 1]
3881297	1	442	Montclair St.	http://stats.ncaa.org/team/index/12221?org_id=442	[19, 25, 25, 25, 3]
3881297	2		Ties		[1, 3, 11, 4, 19]
3881297	3		Lead changes		[1, 2, 7, 1, 11]
3881315	0		Johnson & Wales (CO)		[19, 18, 20, 0]
3881315	1	154	Colorado Col.	http://stats.ncaa.org/team/index/12221?org_id=154	[25, 25, 25, 3]
3881315	2		Ties		[5, 4, 8, 17]
3881315	3		Lead changes		[3, 1, 3, 7]
3881317	0	119	Carnegie Mellon	http://stats.ncaa.org/team/index/12221?org_id=119	[25, 25, 25, 3]
3881317	1	1451	Westminster (PA)	http://stats.ncaa.org/team/index/12221?org_id=1451	[14, 19, 19, 0]
3881317	2		Ties		[3, 0, 4, 7]
3881317	3		Lead changes		[1, 0, 4, 5]
3881321	0	520	Ohio Wesleyan	http://stats.ncaa.org/team/index/12221?org_id=520	[29, 22, 21, 23, 1]
3881321	1	987	Bluffton	http://stats.ncaa.org/team/index/12221?org_id=987	[27, 25, 25, 25, 3]
3881321	2		Ties		[9, 2, 5, 6, 22]
3881321	3		Lead changes		[5, 0, 3, 3, 11]
3881332	0	259	Rowan	http://stats.ncaa.org/team/index/12221?org_id=259	[25, 25, 25, 3]
3881332	1	82	Bryn Mawr	http://stats.ncaa.org/team/index/12221?org_id=82	[18, 16, 19, 0]
3881332	2		Ties		[3, 4, 2, 9]
3881332	3		Lead changes		[1, 1, 0, 2]
3881339	0	247	SUNY Geneseo	http://stats.ncaa.org/team/index/12221?org_id=247	[21, 15, 25, 22, 1]
3881339	1	601	St. John Fisher	http://stats.ncaa.org/team/index/12221?org_id=601	[25, 25, 21, 25, 3]
3881339	2		Ties		[3, 0, 1, 4, 8]
3881339	3		Lead changes		[3, 0, 1, 3, 7]
3881346	0	8600	Notre Dame (MD)	http://stats.ncaa.org/team/index/12221?org_id=8600	[24, 23, 25, 17, 1]
3881346	1	763	Wesley	http://stats.ncaa.org/team/index/12221?org_id=763	[26, 25, 20, 25, 3]
3881346	2		Ties		[13, 3, 10, 1, 27]
3881346	3		Lead changes		[7, 1, 5, 1, 14]
3881349	0	364	Loras	http://stats.ncaa.org/team/index/12221?org_id=364	[25, 25, 25, 3]
3881349	1	264	Grinnell	http://stats.ncaa.org/team/index/12221?org_id=264	[14, 14, 19, 0]
3881349	2		Ties		[3, 6, 7, 16]
3881349	3		Lead changes		[2, 4, 4, 10]
3881358	0	372	Luther	http://stats.ncaa.org/team/index/12221?org_id=372	[21, 18, 19, 0]
3881358	1	795	Wis.-La Crosse	http://stats.ncaa.org/team/index/12221?org_id=795	[25, 25, 25, 3]
3881358	2		Ties		[0, 7, 0, 7]
3881358	3		Lead changes		[0, 2, 0, 2]
3881389	0	192	Dubuque	http://stats.ncaa.org/team/index/12221?org_id=192	[20, 22, 11, 0]
3881389	1	1066	Edgewood	http://stats.ncaa.org/team/index/12221?org_id=1066	[25, 25, 25, 3]
3881389	2		Ties		[4, 15, 1, 20]
3881389	3		Lead changes		[1, 7, 1, 9]
3881401	0	40	Augustana (IL)	http://stats.ncaa.org/team/index/12221?org_id=40	[15, 19, 25, 15, 1]
3881401	1	150	Coe	http://stats.ncaa.org/team/index/12221?org_id=150	[25, 25, 22, 25, 3]
3881401	2		Ties		[0]
3881401	3		Lead changes		[0]
3881406	0	53	Beloit	http://stats.ncaa.org/team/index/12221?org_id=53	[23, 25, 22, 25, 12, 2]
3881406	1	28746	Alverno	http://stats.ncaa.org/team/index/12221?org_id=28746	[25, 20, 25, 14, 15, 3]
3881406	2		Ties		[4, 6, 5, 2, 7, 24]
3881406	3		Lead changes		[1, 4, 3, 0, 4, 12]
3881412	0		St. Louis Pharmacy		[18, 24, 12, 0]
3881412	1	555	Principia	http://stats.ncaa.org/team/index/12221?org_id=555	[25, 26, 25, 3]
3881412	2		Ties		[0]
